Timestamp,Event,Value
1735576551.3875232,CAD operativo,40543
1735576551.395942,CAD operativo,40552
1735576551.4039426,CAD operativo,40560
1735576551.4123588,CAD operativo,40568
1735576551.4213557,CAD operativo,40576
1735576551.4293535,CAD operativo,40585
1735576551.4369624,CAD operativo,40593
1735576551.4457474,CAD operativo,40601
1735576551.4537494,CAD operativo,40610
1735576551.4623425,CAD operativo,40618
1735576551.4705696,CAD operativo,40626
1735576551.4789534,CAD operativo,40635
1735576551.486497,CAD operativo,40643
1735576551.4952955,CAD operativo,40651
1735576551.5039368,CAD operativo,40660
1735576551.5120037,CAD operativo,40668
1735576551.5203445,CAD operativo,40676
1735576551.5288746,CAD operativo,40684
1735576551.5371494,CAD operativo,40693
1735576551.5444345,CAD operativo,40701
1735576551.5521595,CAD operativo,40709
1735576551.5621314,CAD operativo,40718
1735576551.5695608,CAD operativo,40726
1735576551.5781417,CAD operativo,40734
1735576551.587158,CAD operativo,40743
1735576551.595361,CAD operativo,40751
1735576551.602864,CAD operativo,40759
1735576551.6116168,CAD operativo,40767
1735576551.6196146,CAD operativo,40776
1735576551.6280408,CAD operativo,40784
1735576551.6361008,CAD operativo,40792
1735576551.644615,CAD operativo,40801
1735576551.6531556,CAD operativo,40809
1735576551.6603508,CAD operativo,40817
1735576551.669676,CAD operativo,40826
1735576551.6776779,CAD operativo,40834
1735576551.686204,CAD operativo,40842
1735576551.6952088,CAD operativo,40850
1735576551.7033563,CAD operativo,40859
1735576551.7113783,CAD operativo,40867
